Age,Gender,self_employed,family_history,work_interfere,no_employees,remote_work,tech_company,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence,treatment
37,0,2,0,3.0,1,0,1,2,1,1,2,2,1.0,1,1,1,2,1,0,2,0,1
44,2,2,0,1.0,5,0,0,0,0,0,0,0,1.0,0,1,0,0,1,1,0,0,0
32,1,2,0,1.0,1,0,1,1,0,1,1,0,3.0,1,1,2,2,2,2,1,0,0
31,1,2,1,3.0,2,0,1,1,2,1,1,1,3.0,2,2,1,0,0,0,1,1,1
31,1,2,0,0.0,3,1,1,2,0,0,0,0,1.0,1,1,1,2,2,2,0,0,0
33,1,2,1,2.0,1,0,1,2,1,1,0,0,1.0,1,1,2,2,1,0,0,0,0
35,0,2,1,2.0,0,1,1,1,0,1,1,1,3.0,0,0,1,0,1,1,0,0,1
39,2,2,0,0.0,0,1,1,1,2,1,1,2,1.0,1,1,0,0,1,1,1,0,0
42,0,2,1,2.0,3,0,1,2,2,1,1,1,4.0,0,1,2,2,1,0,1,0,1
23,1,2,0,0.0,2,0,1,0,0,0,0,0,1.0,1,1,2,2,0,0,2,0,0
31,1,2,0,2.0,1,1,1,0,0,1,1,0,1.0,1,1,1,2,1,1,0,0,1
29,1,2,0,0.0,3,1,1,0,1,1,1,0,1.0,1,1,2,2,2,2,0,0,0
42,0,2,1,2.0,2,0,0,2,2,1,1,0,3.0,2,2,2,2,0,0,1,1,1
36,1,2,1,0.0,4,0,1,0,1,1,0,0,1.0,1,1,2,2,1,1,0,0,0
27,1,2,0,0.0,1,0,1,0,1,0,0,0,1.0,1,1,1,1,0,2,2,0,0
29,0,2,1,1.0,2,0,1,2,1,1,1,0,1.0,1,1,2,1,0,0,0,0,1
23,1,2,0,2.0,2,1,1,0,0,0,0,0,0.0,0,1,1,0,0,0,1,0,1
32,1,2,0,2.0,1,0,1,2,2,1,0,0,1.0,0,1,1,2,1,1,1,0,1
46,1,1,1,2.0,0,1,1,2,1,2,0,2,0.0,1,1,2,2,1,2,2,1,0
36,1,1,1,1.0,1,1,1,1,0,2,1,2,1.0,1,1,1,1,0,0,0,0,0
29,1,0,1,2.0,3,0,1,2,2,1,1,1,3.0,0,1,1,1,1,1,1,0,1
31,1,1,0,0.0,0,1,1,1,0,1,1,2,3.0,1,1,1,1,1,0,2,0,0
46,1,0,0,3.0,2,1,1,2,2,1,1,0,1.0,0,1,1,2,1,0,1,0,1
41,1,0,0,0.0,5,0,0,0,0,1,0,0,1.0,0,1,0,0,1,2,0,0,1
33,1,0,1,1.0,2,0,1,2,1,0,2,2,1.0,1,1,2,2,1,2,0,0,1
35,1,0,1,2.0,5,0,0,2,2,1,0,1,0.0,2,1,1,2,1,2,1,0,1
33,1,0,0,1.0,0,0,1,0,1,1,0,0,1.0,0,0,1,0,1,1,0,0,0
35,0,0,1,1.0,1,1,1,2,2,0,0,0,1.0,1,1,2,2,0,0,2,0,1
34,1,0,0,2.0,2,1,1,0,1,1,0,0,3.0,1,1,1,0,1,1,1,0,1
37,1,0,0,2.0,1,0,1,1,0,1,1,0,4.0,2,0,1,0,1,0,1,0,0
32,1,0,0,0.0,1,1,1,1,0,1,1,0,1.0,2,2,1,1,1,0,1,0,0
31,1,1,1,1.0,0,1,1,1,2,1,1,0,3.0,2,1,0,0,1,1,1,1,0
30,1,0,1,2.0,4,1,1,0,0,1,1,2,1.0,0,1,1,2,1,2,0,0,1
